ID,FlavorTitle,Act,Players,Suit,Graphic 1,Graphic 2,Proj Cost,Cost,Bargain,Notes,TextLayoutType,MainText,Text1Printed,Text1,Text2,$,Bandits,Cows,Graphic Layout Type,@maingraphic,@suitPNG,@graphic1PNG,@graphic2PNG,@act
18,Lost Cows,2,,Cactus,2 Cows,,$4.0,$4,,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/Cactus-01.png,,,./assets/Act2-01.png
19,,92,DEPRECATED,Cactus,,One-Time Use,,$4,$4.0,REMOVED ACT 2,,,Look at the Top 3 Cards of your Draw Pile then Put Back in any Order,Look at the Top 3 Cards of your Draw Pile then Put Back in any Order,,$0.0,,,Double,,./assets/Cactus-01.png,,./assets/One-Time Use-01.png,
20,,92,DEPRECATED,Cactus,,,,$4,$4.0,REMOVED ACT 2,Main Text,Copy Next Card,,Copy Next Card,,$0.0,,,,,./assets/Cactus-01.png,,,
21,,92,DEPRECATED,Cactus,,One-Time Use,,$4,$4.0,REMOVED ACT 2,,,Buy or Burn 1 Extra Card During Buy Phase,Buy or Burn 1 Extra Card During Buy Phase,,$0.0,,,Double,,./assets/Cactus-01.png,,./assets/One-Time Use-01.png,
22,Abandoned Gold Mine,2,,Rattlesnake,One-Time Use,$3,$3.0*,$3,,,,,,,,$1.8,,,Double,,./assets/Rattlesnake-01.png,./assets/One-Time Use-01.png,./assets/$3-01.png,./assets/Act2-01.png
23,,92,DEPRECATED,Cactus,,One-Time Use,,$5,$5.0,REMOVED ACT 2,,,Replace this card with any card from your Discard Pile,Replace this card with any card from your Discard Pile,,$0.0,,,Double,,./assets/Cactus-01.png,,./assets/One-Time Use-01.png,
24,,92,DEPRECATED,Cactus,$3,& $1 for Other Players,,$6,$6.0,REMOVED ACT 2,,,,,,$3.0,,,Double,,./assets/Cactus-01.png,./assets/$3-01.png,./assets/& $1 for Other Players-01.png,
25,,93,DEPRECATED,Cactus,-1 Bandit,2 Cows,,$10,$10.0,REMOVED ACT 3,,,,,,$0.0,-1,2,Double,,./assets/Cactus-01.png,./assets/-1 Bandit-01.png,./assets/2 Cows-01.png,
26,Buried Loot,3,,Cactus,$3,,$5.0,$5,,,,,,,,$3.0,,,Main,./assets/$3-01.png,./assets/Cactus-01.png,,,./assets/Act3-01.png
27,,93,DEPRECATED,Cactus,$3,,,$5,$5.0,REMOVED ACT 3,,,,,,$3.0,,,Main,./assets/$3-01.png,./assets/Cactus-01.png,,,
28,Crib Barn,3,,Cactus,3 Cows,,$6.0,$6,,,,,,,,$0.0,,3,Main,./assets/3 Cows-01.png,./assets/Cactus-01.png,,,./assets/Act3-01.png
29,Crib Barn,3,,Cactus,3 Cows,,$6.0,$6,,,,,,,,$0.0,,3,Main,./assets/3 Cows-01.png,./assets/Cactus-01.png,,,./assets/Act3-01.png
30,Run-Down Saloon,3,,Cactus,1 Bandit,4 Cows,$6.5,$7,$0.5,,,,,,,$0.0,1,4,Double,,./assets/Cactus-01.png,./assets/1 Bandit-01.png,./assets/4 Cows-01.png,./assets/Act3-01.png
31,,93,DEPRECATED,Cactus,,,,$8,$8.0,REMOVED ACT 3,Main Text,Immediately Look at the Top 3 Cards of your Draw Pile then Put Back in Any Order,,Immediately Look at the Top 3 Cards of your Draw Pile then Put Back in Any Order,,$0.0,,,,,./assets/Cactus-01.png,,,
32,Abandoned Barn,3,,Cactus,4 Cows,,$9.0,$9,,,,,,,,$0.0,,4,Main,./assets/4 Cows-01.png,./assets/Cactus-01.png,,,./assets/Act3-01.png
33,Overturned Wagon,,,Cactus,$1,1 Cow,,,,,,,,,,$1.0,,1,Double,,./assets/Cactus-01.png,./assets/$1-01.png,./assets/1 Cow-01.png,
34,Owlhoot,,,Cactus,1 Bandit,,,,,,,,,,,$0.0,1,,Main,./assets/1 Bandit-01.png,./assets/Cactus-01.png,,,
35,Dropped Coin Purse,1,,Rattlesnake,$2,,$3.5,$3,-$0.5,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
36,Dropped Coin Purse,1,,Rattlesnake,$2,,$3.5,$3,-$0.5,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
37,Cattle Auction,1,,Rattlesnake,2 Cows,,$3.5,$5,$1.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
38,Stampede,2,,Rattlesnake,3 Cows,,$6.0*,$5,,REWORKED $2 for $3,,,,,Draw 4 Cards,$0.0,,3,Double,,./assets/Rattlesnake-01.png,./assets/3 Cows-01.png,,./assets/Act2-01.png
39,,92,DEPRECATED,Rattlesnake,-1 Bandit,One-Time Use,,$4,$4.0,REMOVED ACT 2; 3+P,,,,,,$0.0,-1,,Double,,./assets/Rattlesnake-01.png,./assets/-1 Bandit-01.png,./assets/One-Time Use-01.png,
40,Cattle Auction,1,,Rattlesnake,2 Cows,,$3.5,$5,$1.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
41,Lost Caravan,2,,Rattlesnake,$2,1 Cow,$4.5,$4,-$0.5,,,,,,,$2.0,,1,Double,,./assets/Rattlesnake-01.png,./assets/$2-01.png,./assets/1 Cow-01.png,./assets/Act2-01.png
42,Lost Caravan,2,,Rattlesnake,$2,1 Cow,$4.5,$4,-$0.5,,,,,,,$2.0,,1,Double,,./assets/Rattlesnake-01.png,./assets/$2-01.png,./assets/1 Cow-01.png,./assets/Act2-01.png
43,Bandit Stronghold,2,,Rattlesnake,2 Bandits,5 Cows,$4.5,$4,-$0.5,,,,,,,$0.0,2,5,Double,,./assets/Rattlesnake-01.png,./assets/2 Bandits-01.png,./assets/5 Cows-01.png,./assets/Act2-01.png
44,,93,DEPRECATED,Rattlesnake,5 Cows,,,$11,$11.0,REMOVED ACT 3,,,,,,$0.0,,5,Main,./assets/5 Cows-01.png,./assets/Rattlesnake-01.png,,,
45,Maverick Herd,3,,Rattlesnake,4 Cows,,$8.0,$8,,,,,,,,$0.0,,4,Main,./assets/4 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act3-01.png
46,Dropped Coin Purse,1,,Rattlesnake,$2,,$3.5,$3,-$0.5,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
47,Dropped Coin Purse,1,,Rattlesnake,$2,,$3.5,$3,-$0.5,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
48,Cattle Auction,1,,Rattlesnake,2 Cows,,$3.5,$5,$1.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
49,Cattle Auction,1,,Rattlesnake,2 Cows,,$3.5,$5,$1.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act1-01.png
50,,92,DEPRECATED,Rattlesnake,-1 Bandit,One-Time Use,,$4,$4.0,REMOVED ACT 2,,,,,,$0.0,-1,,Double,,./assets/Rattlesnake-01.png,./assets/-1 Bandit-01.png,./assets/One-Time Use-01.png,
51,Bandit Stronghold,2,,Rattlesnake,2 Bandits,5 Cows,$4.5,$4,-$0.5,,,,,,,$0.0,2,5,Double,,./assets/Rattlesnake-01.png,./assets/2 Bandits-01.png,./assets/5 Cows-01.png,./assets/Act2-01.png
52,Abandoned Hideout,2,,Rattlesnake,$3,,$5.0,$5,,,,,,,,$3.0,,,Main,./assets/$3-01.png,./assets/Rattlesnake-01.png,,,./assets/Act2-01.png
53,Abandoned Hideout,2,,Rattlesnake,$3,,$5.0,$5,,,,,,,,$3.0,,,Main,./assets/$3-01.png,./assets/Rattlesnake-01.png,,,./assets/Act2-01.png
54,Stampede,2,,Rattlesnake,3 Cows,,$6.0*,$5,,,,,,,Draw 4 Cards,$0.0,,3,Double,,./assets/Rattlesnake-01.png,./assets/3 Cows-01.png,,./assets/Act2-01.png
55,,93,DEPRECATED,Rattlesnake,$3,3 Cows,,$10,$10.0,REMOVED ACT 3,,,,,,$3.0,,3,Double,,./assets/Rattlesnake-01.png,./assets/$3-01.png,./assets/3 Cows-01.png,
56,,93,DEPRECATED,Rattlesnake,5 Cows,,,$11,$11.0,REMOVED ACT 3,,,,,,$0.0,,5,Main,./assets/5 Cows-01.png,./assets/Rattlesnake-01.png,,,
57,Bandit Stronghold,3,,Rattlesnake,2 Bandits,5 Cows,$4.5,$4,-$0.5,,,,,,,$0.0,2,5,Double,,./assets/Rattlesnake-01.png,./assets/2 Bandits-01.png,./assets/5 Cows-01.png,./assets/Act3-01.png
58,Maverick Herd,3,,Rattlesnake,4 Cows,,$8.0,$8,,,,,,,,$0.0,,4,Main,./assets/4 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act3-01.png
59,Maverick Herd,3,,Rattlesnake,4 Cows,,$8.0,$8,,,,,,,,$0.0,,4,Main,./assets/4 Cows-01.png,./assets/Rattlesnake-01.png,,,./assets/Act3-01.png
60,,93,DEPRECATED,Rattlesnake,1 Bandit,5 Cows,,$9,$9.0,REMOVED ACT 3,,,,,,$0.0,1,5,Double,,./assets/Rattlesnake-01.png,./assets/1 Bandit-01.png,./assets/5 Cows-01.png,
61,Dropped Coin Purse,,,Rattlesnake,$2,,,,,,,,,,,$2.0,,,Main,./assets/$2-01.png,./assets/Rattlesnake-01.png,,,
62,Bandit Lookout,,,Rattlesnake,1 Bandit,1 Cow,,,,,,,,,,$0.0,1,1,Double,,./assets/Rattlesnake-01.png,./assets/1 Bandit-01.png,./assets/1 Cow-01.png,
63,Bandit Lookout,,,Rattlesnake,1 Bandit,1 Cow,,,,,,,,,,$0.0,1,1,Double,,./assets/Rattlesnake-01.png,./assets/1 Bandit-01.png,./assets/1 Cow-01.png,
64,Bandit Hideout,,,Rattlesnake,2 Bandits,2 Cows,,,,,,,,,,$0.0,2,2,Double,,./assets/Rattlesnake-01.png,./assets/2 Bandits-01.png,./assets/2 Cows-01.png,
65,,91,DEPRECATED,River,1 Cow,,,$4,$4.0,REMOVED ACT 1; 3+P,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/River-01.png,,,
66,Abandoned Wagon,2,,River,$1,1 Cow,$4.0,$4,,,,,,,,$1.0,,1,Double,,./assets/River-01.png,./assets/$1-01.png,./assets/1 Cow-01.png,./assets/Act2-01.png
67,Newborn Calves,2,,River,2 Cows,,$5.5,$6,$0.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/River-01.png,,,./assets/Act2-01.png
68,,91,DEPRECATED,River,$1,,,$3,$3.0,REMOVED ACT 1; 4+P,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
69,,91,DEPRECATED,River,$1,,,$3,$3.0,REMOVED ACT 1; 4+P,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
70,Abandoned Silver Mine,1,,River,One-Time Use,$2,$4.2*,$3,,,,,,,,$1.2,,,Double,,./assets/River-01.png,./assets/One-Time Use-01.png,./assets/$2-01.png,./assets/Act1-01.png
71,,93,DEPRECATED,River,-1 Bandit,-1 Cow,,$5,$5.0,REMOVED ACT 3; 4+P,,,,,,$0.0,-1,-1,Double,,./assets/River-01.png,./assets/-1 Bandit-01.png,./assets/-1 Cow-01.png,
72,Swimming Cows,3,,River,3 Cows,,$7.0,$7,,,,,,,,$0.0,,3,Main,./assets/3 Cows-01.png,./assets/River-01.png,,,./assets/Act3-01.png
73,Paydirt,3,,River,$4,,$8.0,$8,,,,,,,,$4.0,,,Main,./assets/$4-01.png,./assets/River-01.png,,,./assets/Act3-01.png
74,Chicken Feed,1,,River,$1,,$3.5,$3,-$0.5,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,./assets/Act1-01.png
75,,91,DEPRECATED,River,$1,,,$3,$3.0,REMOVED ACT 1,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
76,,91,DEPRECATED,River,$1,,,$3,$3.0,REMOVED ACT 1,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
77,Abandoned Silver Mine,1,,River,One-Time Use,$2,$4.2*,$3,,,,,,,,$1.2,,,Double,,./assets/River-01.png,./assets/One-Time Use-01.png,./assets/$2-01.png,./assets/Act1-01.png
78,Abandoned Silver Mine,1,,River,One-Time Use,$2,$4.2*,$3,,,,,,,,$1.2,,,Double,,./assets/River-01.png,./assets/One-Time Use-01.png,./assets/$2-01.png,./assets/Act1-01.png
79,Newborn Calf,1,,River,1 Cow,,$4.0,$4,,,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/River-01.png,,,./assets/Act1-01.png
80,Newborn Calf,1,,River,1 Cow,,$4.0,$4,,,,,,,,$0.0,,1,Main,./assets/1 Cow-01.png,./assets/River-01.png,,,./assets/Act1-01.png
81,Abandoned Wagon,2,,River,$1,1 Cow,$4.0,$4,,,,,,,,$1.0,,1,Double,,./assets/River-01.png,./assets/$1-01.png,./assets/1 Cow-01.png,./assets/Act2-01.png
82,Abandoned Wagon,2,,River,$1,1 Cow,$4.0,$4,,,,,,,,$1.0,,1,Double,,./assets/River-01.png,./assets/$1-01.png,./assets/1 Cow-01.png,./assets/Act2-01.png
83,Newborn Calves,2,,River,2 Cows,,$5.5,$6,$0.5,,,,,,,$0.0,,2,Main,./assets/2 Cows-01.png,./assets/River-01.png,,,./assets/Act2-01.png
84,Calaboose,3,,Cactus,-1 Bandit,,$6.5*,$5,,,,,,,Draw 4 Cards,$0.0,-1,,Double,,./assets/Cactus-01.png,./assets/-1 Bandit-01.png,,./assets/Act3-01.png
85,Calaboose,3,,Cactus,-1 Bandit,,$6.5*,$5,,,,,,,Draw 4 Cards,$0.0,-1,,Double,,./assets/Cactus-01.png,./assets/-1 Bandit-01.png,,./assets/Act3-01.png
86,Placer Deposit,3,,River,$3,,$6.0,$6,,,,,,,,$3.0,,,Main,./assets/$3-01.png,./assets/River-01.png,,,./assets/Act3-01.png
87,,93,DEPRECATED,River,3 Cows,,,$7,$7.0,REMOVED ACT 3,,,,,,$0.0,,3,Main,./assets/3 Cows-01.png,./assets/River-01.png,,,
88,Swimming Cows,3,,River,3 Cows,,$7.0,$7,,,,,,,,$0.0,,3,Main,./assets/3 Cows-01.png,./assets/River-01.png,,,./assets/Act3-01.png
89,Paydirt,3,,River,$4,,$8.0,$8,,,,,,,,$4.0,,,Main,./assets/$4-01.png,./assets/River-01.png,,,./assets/Act3-01.png
90,Swamped Wagon,3,,River,$2,3 Cows,$9.0,$9,,,,,,,,$2.0,,3,Double,,./assets/River-01.png,./assets/$2-01.png,./assets/3 Cows-01.png,./assets/Act3-01.png
91,Chicken Feed,,,River,$1,,,,,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
92,Chicken Feed,,,River,$1,,,,,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
93,Chicken Feed,,,River,$1,,,,,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
94,Chicken Feed,,,River,$1,,,,,,,,,,,$1.0,,,Main,./assets/$1-01.png,./assets/River-01.png,,,
